,Unnamed: 0,Murder,Assault,Rape,clust
0,Alabama,0,236,21.2,0
1,Alaska,0,263,44.5,0
2,Arizona,0,294,31.0,0
3,Arkansas,1,190,19.5,1
4,California,0,276,40.6,0
5,Colorado,0,204,38.7,0
6,Connecticut,2,110,11.1,2
7,Delaware,1,238,15.8,1
8,Florida,0,335,31.9,0
9,Georgia,0,211,25.8,0
10,Hawaii,1,46,20.2,2
11,Idaho,2,120,14.2,2
12,Illinois,0,249,24.0,0
13,Indiana,1,113,21.0,1
14,Iowa,2,56,11.3,2
15,Kansas,1,115,18.0,1
16,Kentucky,1,109,16.3,1
17,Louisiana,0,249,22.2,0
18,Maine,2,83,7.8,2
19,Maryland,0,300,27.8,0
20,Massachusetts,1,149,16.3,1
21,Michigan,0,255,35.1,0
22,Minnesota,2,72,14.9,2
23,Mississippi,0,259,17.1,0
24,Missouri,1,178,28.2,1
25,Montana,1,109,16.4,1
26,Nebraska,1,102,16.5,2
27,Nevada,0,252,46.0,0
28,New Hampshire,2,57,9.5,2
29,New Jersey,1,159,18.8,1
30,New Mexico,0,285,32.1,0
31,New York,0,254,26.1,0
32,North Carolina,0,337,16.1,0
33,North Dakota,2,45,7.3,2
34,Ohio,1,120,21.4,1
35,Oklahoma,1,151,20.0,1
36,Oregon,1,159,29.3,1
37,Pennsylvania,1,106,14.9,1
38,Rhode Island,1,174,8.3,2
39,South Carolina,0,279,22.5,0
40,South Dakota,2,86,12.8,2
41,Tennessee,0,188,26.9,0
42,Texas,0,201,25.5,0
43,Utah,1,120,22.9,1
44,Vermont,2,48,11.2,2
45,Virginia,1,156,20.7,1
46,Washington,1,145,26.2,1
47,West Virginia,2,81,9.3,2
48,Wisconsin,2,53,10.8,2
49,Wyoming,1,161,15.6,1
